"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-01","1996","01","01","","-7.1","","-17.3","","-12.2","","30.2","","0.0","","","M","","M","0.0","","42","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-02","1996","01","02","","-15.2","","-27.8","","-21.5","","39.5","","0.0","","","M","","M","0.0","","42","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-03","1996","01","03","","-16.9","","-27.4","","-22.2","","40.2","","0.0","","0.0","","","M","0.0","","42","","1","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-04","1996","01","04","","-17.1","","-32.0","","-24.6","","42.6","","0.0","","0.0","","","M","0.0","","41","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-05","1996","01","05","","-17.7","","-35.8","","-26.8","","44.8","","0.0","","","M","","M","1.1","","41","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-06","1996","01","06","","-9.6","","-36.5","","-23.1","","41.1","","0.0","","0.0","","","M","0.0","","41","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-07","1996","01","07","","-9.7","","-35.7","","-22.7","","40.7","","0.0","","0.0","","","M","0.0","","42","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-08","1996","01","08","","-5.0","","-33.8","","-19.4","","37.4","","0.0","","0.0","","","M","0.0","","41","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-09","1996","01","09","","-5.8","","-10.6","","-8.2","","26.2","","0.0","","0.0","","","M","2.2","","43","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-10","1996","01","10","","-8.5","","-25.4","","-17.0","","35.0","","0.0","","0.0","","","M","0.0","","47","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-11","1996","01","11","","-6.2","","-31.3","","-18.8","","36.8","","0.0","","0.0","","","M","0.0","","45","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-12","1996","01","12","","-6.3","","-21.1","","-13.7","","31.7","","0.0","","","M","","M","0.0","","44","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-13","1996","01","13","","-2.4","","-17.3","","-9.9","","27.9","","0.0","","","M","","M","1.0","","44","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-14","1996","01","14","","-0.2","","-18.6","","-9.4","","27.4","","0.0","","0.0","","","M","0.0","","44","","24","","41",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-15","1996","01","15","","-12.2","","-28.4","","-20.3","","38.3","","0.0","","","M","","M","0.0","","43","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-16","1996","01","16","","0.4","","-22.1","","-10.9","","28.9","","0.0","","","M","","M","9.5","","43","","18","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-17","1996","01","17","","4.4","","-0.1","","2.2","","15.8","","0.0","","","M","","M","7.5","","40","","27","","37",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-18","1996","01","18","","8.5","","2.8","","5.7","","12.3","","0.0","","0.0","","","M","1.3","","33","","18","","43",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-19","1996","01","19","","9.1","","-14.6","","-2.8","","20.8","","0.0","","","M","","M","38.8","","7","","28","","56",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-20","1996","01","20","","-8.2","","-16.6","","-12.4","","30.4","","0.0","","","M","","M","0.0","","","","31","","33",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-21","1996","01","21","","-4.1","","-16.6","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-22","1996","01","22","","1.1","","-7.8","","-3.4","","21.4","","0.0","","0.0","","","M","0.0","","6","","18","","37",""
"-77.88","45.07","BANCROFT AUTO","616I001","1996-01-23","1996","01","23","","0.2","","-1.7","E","-0.8","E","18.8","E","0.0","E","","M","","M","","M","6","","","","<31",""
