"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.42","53.32","GOOSE A","8501900","1992-01-01","1992","01","01","","-13.9","","-19.7","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","34","","26","","37",""
"-60.42","53.32","GOOSE A","8501900","1992-01-02","1992","01","02","","-11.3","","-20.3","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","34","","26","","35",""
"-60.42","53.32","GOOSE A","8501900","1992-01-03","1992","01","03","","-2.1","","-15.0","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","34","","25","","48",""
"-60.42","53.32","GOOSE A","8501900","1992-01-04","1992","01","04","","-0.9","","-7.6","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","33","","26","","33",""
"-60.42","53.32","GOOSE A","8501900","1992-01-05","1992","01","05","","1.0","","-5.4","","-2.2","","20.2","","0.0","","0.0","T","0.4","","0.4","","32","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-06","1992","01","06","","1.8","","-3.7","","-1.0","","19.0","","0.0","","2.8","","3.0","","5.4","","30","","3","","33",""
"-60.42","53.32","GOOSE A","8501900","1992-01-07","1992","01","07","","3.4","","-8.6","","-2.6","","20.6","","0.0","","1.4","","2.4","","2.6","","27","","36","","48",""
"-60.42","53.32","GOOSE A","8501900","1992-01-08","1992","01","08","","-8.1","","-20.0","","-14.1","","32.1","","0.0","","0.0","","0.6","","0.6","","28","","3","","39",""
"-60.42","53.32","GOOSE A","8501900","1992-01-09","1992","01","09","","-15.3","","-22.8","","-19.1","","37.1","","0.0","","0.0","","0.0","","0.0","","28","","25","","33",""
"-60.42","53.32","GOOSE A","8501900","1992-01-10","1992","01","10","","-11.8","","-22.2","","-17.0","","35.0","","0.0","","0.0","","2.0","","0.8","","28","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-11","1992","01","11","","-8.2","","-15.1","","-11.7","","29.7","","0.0","","0.0","","12.2","","5.0","","33","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-12","1992","01","12","","-14.5","","-25.1","","-19.8","","37.8","","0.0","","0.0","","2.8","","1.0","","41","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-13","1992","01","13","","-20.1","","-29.1","","-24.6","","42.6","","0.0","","0.0","","0.8","","0.2","","41","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-14","1992","01","14","","-15.8","","-24.4","","-20.1","","38.1","","0.0","","0.0","","0.0","T","0.0","T","42","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-15","1992","01","15","","-1.0","","-15.8","","-8.4","","26.4","","0.0","","0.0","T","3.6","","2.8","","42","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-16","1992","01","16","","-1.6","","-22.1","","-11.9","","29.9","","0.0","","0.0","","4.3","","3.3","","44","","23","","46",""
"-60.42","53.32","GOOSE A","8501900","1992-01-17","1992","01","17","","-21.3","","-25.9","","-23.6","","41.6","","0.0","","0.0","","1.3","","0.7","","48","","25","","56",""
"-60.42","53.32","GOOSE A","8501900","1992-01-18","1992","01","18","","-17.6","","-26.9","","-22.3","","40.3","","0.0","","0.0","","0.2","","0.2","","49","","25","","50",""
"-60.42","53.32","GOOSE A","8501900","1992-01-19","1992","01","19","","-24.2","","-28.3","","-26.3","","44.3","","0.0","","0.0","","0.6","","0.6","","48","","28","","48",""
"-60.42","53.32","GOOSE A","8501900","1992-01-20","1992","01","20","","-23.4","","-27.8","","-25.6","","43.6","","0.0","","0.0","","0.0","T","0.0","T","47","","26","","44",""
"-60.42","53.32","GOOSE A","8501900","1992-01-21","1992","01","21","","-22.2","","-28.7","","-25.5","","43.5","","0.0","","0.0","","0.0","T","0.0","T","46","","27","","39",""
"-60.42","53.32","GOOSE A","8501900","1992-01-22","1992","01","22","","-22.0","","-29.6","","-25.8","","43.8","","0.0","","0.0","","0.2","","0.2","","45","","26","","35",""
"-60.42","53.32","GOOSE A","8501900","1992-01-23","1992","01","23","","-5.5","","-25.6","","-15.6","","33.6","","0.0","","0.0","","0.0","T","0.0","T","45","","21","","43",""
"-60.42","53.32","GOOSE A","8501900","1992-01-24","1992","01","24","","3.6","","-10.7","","-3.6","","21.6","","0.0","","0.8","","10.2","","9.9","","42","","20","","37",""
"-60.42","53.32","GOOSE A","8501900","1992-01-25","1992","01","25","","-10.3","","-30.2","","-20.3","","38.3","","0.0","","0.0","","7.3","","5.3","","49","","36","","41",""
"-60.42","53.32","GOOSE A","8501900","1992-01-26","1992","01","26","","-26.5","","-32.5","","-29.5","","47.5","","0.0","","0.0","","0.0","","0.0","","48","","26","","35",""
"-60.42","53.32","GOOSE A","8501900","1992-01-27","1992","01","27","","-24.9","","-34.2","","-29.6","","47.6","","0.0","","0.0","","0.0","T","0.0","T","47","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1992-01-28","1992","01","28","","-15.0","","-30.5","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","47","","25","","43",""
"-60.42","53.32","GOOSE A","8501900","1992-01-29","1992","01","29","","-8.1","","-22.6","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","45","","28","","32",""
"-60.42","53.32","GOOSE A","8501900","1992-01-30","1992","01","30","","-19.6","","-27.9","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","44","","28","","39",""
