"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.42","53.32","GOOSE A","8501900","1991-01-01","1991","01","01","","-23.2","","-28.9","","-26.1","","44.1","","0.0","","0.0","","0.0","T","0.0","T","74","","24","","50",""
"-60.42","53.32","GOOSE A","8501900","1991-01-02","1991","01","02","","-18.1","","-28.2","","-23.2","","41.2","","0.0","","0.0","","2.8","","2.0","","73","","26","","54",""
"-60.42","53.32","GOOSE A","8501900","1991-01-03","1991","01","03","","-19.9","","-30.1","","-25.0","","43.0","","0.0","","0.0","","0.0","T","0.0","T","76","","27","","54",""
"-60.42","53.32","GOOSE A","8501900","1991-01-04","1991","01","04","","-24.1","","-31.7","","-27.9","","45.9","","0.0","","0.0","","0.0","T","0.0","T","75","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1991-01-05","1991","01","05","","-22.0","","-30.8","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","74","","25","","39",""
"-60.42","53.32","GOOSE A","8501900","1991-01-06","1991","01","06","","-20.4","","-26.7","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","73","","26","","35",""
"-60.42","53.32","GOOSE A","8501900","1991-01-07","1991","01","07","","-24.3","","-29.1","","-26.7","","44.7","","0.0","","0.0","","0.0","T","0.0","T","71","","26","","52",""
"-60.42","53.32","GOOSE A","8501900","1991-01-08","1991","01","08","","-22.1","","-27.0","","-24.6","","42.6","","0.0","","0.0","","1.2","","0.8","","70","","24","","39",""
"-60.42","53.32","GOOSE A","8501900","1991-01-09","1991","01","09","","-22.0","","-28.7","","-25.4","","43.4","","0.0","","0.0","","0.0","T","0.0","T","70","","24","","43",""
"-60.42","53.32","GOOSE A","8501900","1991-01-10","1991","01","10","","-14.9","","-27.7","","-21.3","","39.3","","0.0","","0.0","","3.8","","2.6","","71","","28","","46",""
"-60.42","53.32","GOOSE A","8501900","1991-01-11","1991","01","11","","-20.7","","-27.3","","-24.0","","42.0","","0.0","","0.0","","1.0","","1.0","","73","","29","","33",""
"-60.42","53.32","GOOSE A","8501900","1991-01-12","1991","01","12","","-24.2","","-30.7","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","73","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1991-01-13","1991","01","13","","-22.6","","-28.7","","-25.7","","43.7","","0.0","","0.0","","0.6","","0.6","","73","","","","<31",""
"-60.42","53.32","GOOSE A","8501900","1991-01-14","1991","01","14","","-19.8","","-25.4","","-22.6","","40.6","","0.0","","0.0","","0.2","","0.2","","74","","25","","35",""
"-60.42","53.32","GOOSE A","8501900","1991-01-15","1991","01","15","","-18.4","","-27.8","","-23.1","","41.1","","0.0","","0.0","","0.0","","0.0","","74","","26","","39",""
"-60.42","53.32","GOOSE A","8501900","1991-01-16","1991","01","16","","-16.3","","-25.0","","-20.7","","38.7","","0.0","","0.0","","0.0","","0.0","","70","","26","","39",""
