"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.95","49.91","BRANDON A","5010480","1992-01-01","1992","01","01","","-8.3","","-16.7","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","18","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1992-01-02","1992","01","02","","-10.0","","-16.3","","-13.2","","31.2","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1992-01-03","1992","01","03","","2.3","","-16.2","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","17","","29","","67",""
"-99.95","49.91","BRANDON A","5010480","1992-01-04","1992","01","04","","-1.0","","-19.7","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","17","","14","","37",""
"-99.95","49.91","BRANDON A","5010480","1992-01-05","1992","01","05","","-1.2","","-10.7","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","16","","29","","41",""
"-99.95","49.91","BRANDON A","5010480","1992-01-06","1992","01","06","","-5.7","","-15.1","","-10.4","","28.4","","0.0","","0.0","","0.4","","0.4","","16","","7","","41",""
"-99.95","49.91","BRANDON A","5010480","1992-01-07","1992","01","07","","-6.7","","-15.5","","-11.1","","29.1","","0.0","","0.0","","1.2","","1.0","","16","","29","","41",""
"-99.95","49.91","BRANDON A","5010480","1992-01-08","1992","01","08","","-12.5","","-22.4","","-17.5","","35.5","","0.0","","0.0","","0.0","T","0.0","T","17","","30","","41",""
"-99.95","49.91","BRANDON A","5010480","1992-01-09","1992","01","09","","-10.3","","-20.2","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1992-01-10","1992","01","10","","-3.3","","-14.7","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1992-01-11","1992","01","11","","1.1","","-13.7","","-6.3","","24.3","","0.0","","0.0","T","0.0","","0.0","T","17","","26","","39",""
"-99.95","49.91","BRANDON A","5010480","1992-01-12","1992","01","12","","-2.3","","-8.4","","-5.4","","23.4","","0.0","","0.2","","0.0","T","0.2","","17","","34","","46",""
