"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.95","49.91","BRANDON A","5010480","1991-01-01","1991","01","01","","-22.5","","-30.1","","-26.3","","44.3","","0.0","","0.0","","0.2","","0.2","","26","","28","","44",""
"-99.95","49.91","BRANDON A","5010480","1991-01-02","1991","01","02","","-20.9","","-31.8","","-26.4","","44.4","","0.0","","0.0","","0.0","","0.0","","26","","27","","37",""
"-99.95","49.91","BRANDON A","5010480","1991-01-03","1991","01","03","","-18.3","","-28.8","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","26","","26","","57",""
"-99.95","49.91","BRANDON A","5010480","1991-01-04","1991","01","04","","-17.0","","-22.8","","-19.9","","37.9","","0.0","","0.0","","0.0","","0.0","","26","","24","","39",""
"-99.95","49.91","BRANDON A","5010480","1991-01-05","1991","01","05","","-15.5","","-30.8","","-23.2","","41.2","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-06","1991","01","06","","-28.2","","-36.4","","-32.3","","50.3","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-07","1991","01","07","","-19.6","","-37.3","","-28.5","","46.5","","0.0","","0.0","","2.2","","2.2","","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-08","1991","01","08","","-20.7","","-36.6","","-28.7","","46.7","","0.0","","0.0","","0.2","","0.0","T","27","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-09","1991","01","09","","-30.8","","-39.8","","-35.3","","53.3","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-10","1991","01","10","","-15.8","","-34.0","","-24.9","","42.9","","0.0","","0.0","","0.6","","0.6","","27","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-11","1991","01","11","","-17.8","","-29.1","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-12","1991","01","12","","-12.3","","-24.8","","-18.6","","36.6","","0.0","","0.2","","0.0","T","0.2","","27","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-13","1991","01","13","","-16.7","","-17.4","","-17.1","","35.1","","0.0","","0.0","","0.2","","0.2","","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-14","1991","01","14","","-5.3","","-19.7","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-15","1991","01","15","","-0.8","","-7.7","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-16","1991","01","16","","-4.9","","-13.4","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","26","","30","","48",""
"-99.95","49.91","BRANDON A","5010480","1991-01-17","1991","01","17","","-5.8","","-16.7","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-18","1991","01","18","","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","25","","30","","52",""
"-99.95","49.91","BRANDON A","5010480","1991-01-19","1991","01","19","","1.2","","-20.3","","-9.6","","27.6","","0.0","","0.0","","0.4","","0.2","","22","","30","","72",""
"-99.95","49.91","BRANDON A","5010480","1991-01-20","1991","01","20","","-20.2","","-30.4","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-99.95","49.91","BRANDON A","5010480","1991-01-21","1991","01","21","","-3.4","","-24.1","","-13.8","","31.8","","0.0","","0.0","","0.4","","0.2","","22","","23","","35",""
