時刻流量月表検索結果
水系名,天塩川
河川名,天塩川
観測所名,誉平
観測所記号,301011281104120
#
#日付,1時データ,1時フラグ,,,,,,,,24時データ,24時フラグ
#  フラグの意味： *:暫定値, $:欠測, #:閉局, -:未登録
#
,1時,,2時,,3時,,4時,,5時,,6時,,7時,,8時,,9時,,10時,,11時,,12時,,13時,,14時,,15時,,16時,,17時,,18時,,19時,,20時,,21時,,22時,,23時,,24時,
2018/03/16,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  145.39, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/17,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  156.52, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/18,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  143.21, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/19,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  120.33, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/20,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  114.44, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/21,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  118.35, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/22,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  120.33, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/23,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  122.33, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/24,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  126.38, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/25,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  136.77, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/26,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  175.20, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/27,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  213.04, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/28,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  282.89, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/29,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  527.59, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/30,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  676.37, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
2018/03/31,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,  579.88, ,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$,-9999.00,$
